ID,WellID,Row,Column,RowName,ColumnName,WellName,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuc2) Area (AVG),[Cell] (Nuc2) Diameter (AVG),[Cell] (Nuc2) Circumference (AVG),[Cell] (Nuc2) Circularity (AVG),[Cell] (Nuc2) Compactness (AVG),[Cell] (Nuc2) Anisometry (AVG),[Cell] (Nuc2) TotalIntensity CH1 (AVG),[Cell] (Nuc2) TotalIntensity CH2 (AVG),[Cell] (Nuc2) TotalIntensity CH3 (AVG),[Cell] (Nuc2) MeanIntensity CH1 (AVG),[Cell] (Nuc2) MeanIntensity CH2 (AVG),[Cell] (Nuc2) MeanIntensity CH3 (AVG),[Cell] (Nuc2) TotalPeak CH1 (AVG),[Cell] (Nuc2) TotalPeak CH2 (AVG),[Cell] (Nuc2) TotalPeak CH3 (AVG),[Cell] (Nuc2) TotalRidge CH1 (AVG),[Cell] (Nuc2) TotalRidge CH2 (AVG),[Cell] (Nuc2) TotalRidge CH3 (AVG),[Cell] (Nuc2) MeanPeak CH1 (AVG),[Cell] (Nuc2) MeanPeak CH2 (AVG),[Cell] (Nuc2) MeanPeak CH3 (AVG),[Cell] (Nuc2) MeanRidge CH1 (AVG),[Cell] (Nuc2) MeanRidge CH2 (AVG),[Cell] (Nuc2) MeanRidge CH3 (AVG),[Cell] (CellBody) Area (AVG),[Cell] (CellBody) Diameter (AVG),[Cell] (CellBody) Circumference (AVG),[Cell] (CellBody) Circularity (AVG),[Cell] (CellBody) Compactness (AVG),[Cell] (CellBody) Anisometry (AVG),[Cell] (CellBody) TotalIntensity CH2 (AVG),[Cell] (CellBody) TotalIntensity CH3 (AVG),[Cell] (CellBody) TotalIntensity CH4 (AVG),[Cell] (CellBody) TotalIntensity CH5 (AVG),[Cell] (CellBody) MeanIntensity CH2 (AVG),[Cell] (CellBody) MeanIntensity CH3 (AVG),[Cell] (CellBody) MeanIntensity CH4 (AVG),[Cell] (CellBody) MeanIntensity CH5 (AVG),[Cell] (CellBody) MinIntensity CH2 (AVG),[Cell] (CellBody) MinIntensity CH3 (AVG),[Cell] (CellBody) MinIntensity CH4 (AVG),[Cell] (CellBody) MinIntensity CH5 (AVG),[Cell] (CellBody) MaxIntensity CH2 (AVG),[Cell] (CellBody) MaxIntensity CH3 (AVG),[Cell] (CellBody) MaxIntensity CH4 (AVG),[Cell] (CellBody) MaxIntensity CH5 (AVG),[Cell] (CellBody) TotalPeak CH2 (AVG),[Cell] (CellBody) TotalPeak CH3 (AVG),[Cell] (CellBody) TotalPeak CH4 (AVG),[Cell] (CellBody) TotalPeak CH5 (AVG),[Cell] (CellBody) TotalHole CH2 (AVG),[Cell] (CellBody) TotalHole CH3 (AVG),[Cell] (CellBody) TotalHole CH4 (AVG),[Cell] (CellBody) TotalHole CH5 (AVG),[Cell] (CellBody) TotalRidge CH2 (AVG),[Cell] (CellBody) TotalRidge CH3 (AVG),[Cell] (CellBody) TotalRidge CH4 (AVG),[Cell] (CellBody) TotalRidge CH5 (AVG),[Cell] (CellBody) TotalValley CH2 (AVG),[Cell] (CellBody) TotalValley CH3 (AVG),[Cell] (CellBody) TotalValley CH4 (AVG),[Cell] (CellBody) TotalValley CH5 (AVG),[Cell] (CellBody) TotalEdge CH2 (AVG),[Cell] (CellBody) TotalEdge CH3 (AVG),[Cell] (CellBody) TotalEdge CH4 (AVG),[Cell] (CellBody) TotalEdge CH5 (AVG),[Cell] (CellBody) TotalSaddle CH2 (AVG),[Cell] (CellBody) TotalSaddle CH3 (AVG),[Cell] (CellBody) TotalSaddle CH4 (AVG),[Cell] (CellBody) TotalSaddle CH5 (AVG),[Cell] (CellBody) MeanPeak CH2 (AVG),[Cell] (CellBody) MeanPeak CH3 (AVG),[Cell] (CellBody) MeanPeak CH4 (AVG),[Cell] (CellBody) MeanPeak CH5 (AVG),[Cell] (CellBody) MeanHole CH2 (AVG),[Cell] (CellBody) MeanHole CH3 (AVG),[Cell] (CellBody) MeanHole CH4 (AVG),[Cell] (CellBody) MeanHole CH5 (AVG),[Cell] (CellBody) MeanRidge CH2 (AVG),[Cell] (CellBody) MeanRidge CH3 (AVG),[Cell] (CellBody) MeanRidge CH4 (AVG),[Cell] (CellBody) MeanRidge CH5 (AVG),[Cell] (CellBody) MeanValley CH2 (AVG),[Cell] (CellBody) MeanValley CH3 (AVG),[Cell] (CellBody) MeanValley CH4 (AVG),[Cell] (CellBody) MeanValley CH5 (AVG),[Cell] (CellBody) MeanEdge CH2 (AVG),[Cell] (CellBody) MeanEdge CH3 (AVG),[Cell] (CellBody) MeanEdge CH4 (AVG),[Cell] (CellBody) MeanEdge CH5 (AVG),[Cell] (CellBody) MeanSaddle CH2 (AVG),[Cell] (CellBody) MeanSaddle CH3 (AVG),[Cell] (CellBody) MeanSaddle CH4 (AVG),[Cell] (CellBody) MeanSaddle CH5 (AVG)
1,26,2,2,B,2,B-02,2021-03-30 00:21:45 +02:00,1,0,,228,184.9992,17.4359,54.2275,0.769651,1.296333,1.306695,214526.12,39052.57,46157.42,498.5272,91.3987,104.8234,532.474197,374.594393,590.231976,1338.540063,903.084030,1833.656887,1.269999,0.882616,1.361430,3.268517,2.140439,4.213962,243.9962,25.0915,72.4379,0.567382,1.756843,1.663477,49328.78,63186.38,23396.11,5379311.01,90.7946,112.2951,42.1101,9415.4882,24.97,4.71,1.34,6210.63,232.25,451.81,174.00,12162.99,33.002405,40.039945,55.118577,4.575537,31.384748,47.683191,61.565021,2.797819,101.863350,139.004775,185.241280,13.991639,97.287620,145.126796,187.322906,11.828912,196.829358,400.016435,402.815925,74.521640,60.209405,89.724364,115.402212,9.342864,0.057050,0.069722,0.095052,0.008146,0.054351,0.082707,0.106419,0.005273,0.176609,0.241845,0.320230,0.025255,0.168928,0.252091,0.324245,0.021787,0.355535,0.696926,0.703254,0.138442,0.104776,0.155915,0.199678,0.017024
4,27,2,3,B,3,B-03,2021-03-30 00:22:08 +02:00,1,0,,250,190.3425,17.6383,54.8210,0.773183,1.279079,1.300775,221002.50,43202.40,50675.40,497.4101,96.2815,111.9527,531.281210,377.969701,587.478740,1311.002825,907.042468,1904.541587,1.231828,0.870455,1.331655,3.090422,2.081117,4.271313,247.2093,24.7110,70.6966,0.595519,1.654709,1.643172,54044.28,70425.39,25829.35,5380363.72,96.0655,123.1813,45.4795,9289.4954,27.08,4.84,1.54,6225.50,237.02,497.80,190.32,11875.54,32.031469,38.573868,54.106314,4.130126,30.513704,47.768319,62.239636,2.628964,98.850699,137.218902,184.133776,12.787680,94.641274,145.441903,188.835560,10.959182,193.961898,411.390783,412.382328,70.079163,58.647757,90.126702,116.021795,8.592499,0.054914,0.066794,0.092875,0.007281,0.052234,0.082119,0.106597,0.004850,0.169765,0.237163,0.316399,0.022813,0.162542,0.250684,0.323967,0.019874,0.343995,0.708012,0.710859,0.127370,0.101077,0.155502,0.199215,0.015441
12,28,2,4,B,4,B-04,2021-03-30 00:22:29 +02:00,1,0,,307,184.5830,17.2380,53.4363,0.785699,1.253486,1.276619,205893.40,37771.86,47640.16,480.8910,88.1948,107.8933,517.714337,365.428211,576.251337,1261.630033,871.649329,1815.841547,1.219822,0.862619,1.339670,3.045923,2.060644,4.212241,246.7478,25.4379,71.8400,0.561943,1.700479,1.670880,48263.22,66501.95,24275.53,5477844.36,87.7543,117.2668,43.4783,9488.9313,25.02,5.00,1.58,6089.97,214.07,465.89,176.34,12216.80,33.493559,39.023479,55.280917,4.752787,31.735799,46.608690,61.848121,2.840576,103.070902,136.152275,185.030413,14.471022,98.211886,142.175303,187.292536,12.147291,192.893491,399.062396,403.867277,76.773939,60.849111,88.083605,115.034448,9.624106,0.057275,0.066925,0.094213,0.008339,0.054380,0.079901,0.105642,0.005328,0.176791,0.233698,0.316230,0.025854,0.168691,0.244012,0.320325,0.022216,0.344574,0.689938,0.698428,0.141556,0.104790,0.151266,0.196967,0.017374
20,29,2,5,B,5,B-05,2021-03-30 00:22:50 +02:00,1,0,,255,199.9304,18.2432,56.7764,0.756981,1.319758,1.336349,217280.15,41608.26,50183.06,465.8806,89.3228,105.7120,548.778988,366.461441,618.638527,1327.975392,881.049995,1952.694050,1.213299,0.809210,1.344921,3.005590,1.924608,4.197874,267.6266,26.6791,77.4883,0.546524,1.836480,1.698960,53331.18,69353.53,25571.42,5824603.89,88.5747,113.0285,42.3435,9316.6226,26.12,5.11,1.62,6228.62,217.12,447.33,173.41,11924.04,35.658823,42.961727,60.622753,4.689021,33.951718,51.757665,68.133671,2.871717,110.119942,150.608475,203.894474,14.452422,105.068705,157.918071,206.558472,12.257082,202.197647,436.173366,439.470533,75.489682,65.153664,98.040550,127.066171,9.686755,0.056380,0.068369,0.095908,0.007744,0.053487,0.081935,0.107475,0.005044,0.174130,0.239330,0.322786,0.024166,0.166026,0.250426,0.326468,0.020939,0.330299,0.694997,0.700819,0.130046,0.103233,0.155658,0.201128,0.016339
26,30,2,6,B,6,B-06,2021-03-30 00:23:11 +02:00,1,0,,278,189.6300,17.5418,54.6383,0.776951,1.283165,1.296153,209425.01,37721.63,49677.34,473.8486,85.5192,109.7605,537.999262,384.359533,620.641148,1331.772746,906.927878,1872.867524,1.253433,0.892677,1.415973,3.192027,2.100335,4.218583,257.1110,26.5535,75.7522,0.555932,1.821082,1.697532,48766.04,68665.31,25019.87,5716425.58,85.1078,117.1378,43.2428,9515.3272,24.09,5.67,1.75,6182.89,212.80,451.79,173.19,12234.46,35.580604,41.813116,58.236612,4.922581,33.493480,49.100002,64.061657,2.826344,109.226645,145.116306,193.894807,14.856981,103.784371,150.484592,194.625104,12.312077,203.071525,417.195353,419.143573,79.441821,64.458698,93.327734,119.890280,9.808770,0.058213,0.068804,0.094738,0.008351,0.054823,0.080571,0.104289,0.005168,0.179181,0.238356,0.316290,0.025688,0.170318,0.247042,0.317508,0.021873,0.349819,0.691712,0.694869,0.141952,0.106137,0.153383,0.195985,0.017188
34,31,2,7,B,7,B-07,2021-03-30 00:23:33 +02:00,1,0,,190,181.7736,16.9920,53.2885,0.791582,1.274451,1.247115,210541.28,38426.34,48526.42,497.9989,90.3252,109.9547,512.364103,364.667783,594.141641,1341.606019,877.031701,1875.094964,1.242808,0.880630,1.403797,3.385949,2.107832,4.374564,228.6638,23.0406,67.0527,0.622283,1.607662,1.485667,47122.81,64702.84,23951.52,5032893.65,89.9850,118.5276,44.3642,9368.1352,26.92,4.99,1.64,6331.43,222.16,473.67,189.97,12161.99,29.625303,37.076255,51.047047,3.920732,28.017825,45.590037,58.710795,2.460428,91.037700,131.682531,174.522571,12.163880,86.889364,138.995458,178.393543,10.398003,177.970997,385.605895,387.690573,68.317633,53.766912,86.354864,110.144572,8.173413,0.054852,0.070736,0.095886,0.007409,0.052065,0.086380,0.110028,0.005101,0.169193,0.250677,0.328127,0.023690,0.161858,0.263580,0.335070,0.020923,0.343469,0.718017,0.724389,0.135374,0.100413,0.163820,0.206884,0.016180
43,32,2,8,B,8,B-08,2021-03-30 00:23:54 +02:00,1,0,,250,181.0489,17.0521,52.9510,0.781842,1.267483,1.292469,193585.11,38210.01,46299.14,462.0203,90.3645,105.9773,517.055592,382.942130,586.066930,1285.141678,896.561858,1787.664070,1.278477,0.927158,1.376848,3.289437,2.170887,4.191480,246.3129,25.7404,73.8092,0.555338,1.813230,1.708711,49613.61,65176.00,23778.30,5456855.92,89.4557,112.7279,41.6623,9447.4795,24.82,4.95,1.58,6205.59,223.39,444.24,166.41,12073.24,33.473813,39.576195,55.355131,4.808640,31.671816,46.501864,61.456865,2.698733,103.027560,136.806471,184.739592,14.483009,98.289914,141.973528,186.716963,11.923412,199.409825,398.936761,403.524252,74.738604,61.004206,88.104946,114.779961,9.573043,0.057218,0.069680,0.095768,0.008407,0.054284,0.081438,0.106156,0.005149,0.176910,0.240619,0.319423,0.025875,0.169084,0.249046,0.322565,0.021964,0.358288,0.690296,0.697982,0.137966,0.105328,0.155055,0.198233,0.017338
52,33,2,9,B,9,B-09,2021-03-30 00:24:16 +02:00,1,0,,172,185.5702,17.1907,54.0826,0.790332,1.303349,1.273393,224824.90,44470.08,50388.05,528.2705,105.2832,113.6339,522.687271,406.081500,601.238508,1358.022056,959.008345,1834.597220,1.238894,0.977664,1.401800,3.332317,2.300063,4.233220,235.4887,23.1795,68.2526,0.621006,1.627382,1.522823,54504.21,67222.08,24795.35,5203917.35,105.2468,121.7147,45.8019,9433.5083,27.21,5.03,1.60,6188.31,250.66,470.31,179.42,12370.15,30.283542,37.391910,51.594454,4.466387,28.861880,44.926106,57.962822,2.859082,93.924671,130.465190,173.369885,13.958199,89.925848,136.818314,175.775081,12.005809,193.886335,386.516111,388.858027,74.472684,56.163768,84.521456,108.208174,9.400445,0.054142,0.069284,0.093545,0.008246,0.051734,0.082274,0.104703,0.005781,0.168705,0.240586,0.314069,0.026502,0.161762,0.251014,0.317845,0.023527,0.367143,0.698252,0.703516,0.145589,0.101354,0.155129,0.195642,0.018149
60,34,2,10,B,10,B-10,2021-03-30 00:24:38 +02:00,1,0,,324,188.3711,17.5113,54.2945,0.775950,1.274163,1.296612,203600.39,36062.47,48042.90,467.4496,82.5495,105.9978,528.758536,366.947609,598.153657,1291.417245,884.231884,1833.537062,1.228483,0.851417,1.358302,3.093752,2.052302,4.139730,253.1971,25.9006,73.8098,0.561787,1.758584,1.679623,46116.22,65683.75,23639.89,5617146.47,81.5172,112.2760,40.9400,9476.7686,23.02,5.37,1.51,6091.82,210.87,434.29,162.90,12275.52,35.172321,40.728904,57.564826,4.921614,33.638331,48.341167,63.967450,3.027647,108.437330,141.378927,191.962074,15.132382,103.685396,147.389549,193.931892,12.830138,200.538565,411.042930,414.778641,79.166951,63.928856,91.100680,119.192241,10.137038,0.058637,0.068514,0.095644,0.008464,0.056159,0.080751,0.106238,0.005539,0.181253,0.237152,0.319410,0.026414,0.173516,0.246301,0.322386,0.022878,0.349309,0.688314,0.695342,0.141855,0.107224,0.152261,0.198388,0.017860
67,35,2,11,B,11,B-11,2021-03-30 00:24:59 +02:00,1,0,,130,179.7621,16.8412,52.9357,0.795520,1.271925,1.260796,212547.42,40915.08,50249.60,534.0998,98.7876,116.2317,512.908902,382.881811,589.725147,1329.359364,884.252941,1780.472407,1.275816,0.942538,1.410709,3.477350,2.193045,4.246006,235.9660,24.2807,70.9150,0.600087,1.737875,1.555505,50165.08,65456.66,23476.02,5230612.48,96.4581,119.9136,43.6600,9481.2862,27.20,5.65,1.80,6067.21,230.82,454.22,164.60,12405.78,30.985195,37.421579,52.249539,4.786642,29.494760,44.635585,57.709325,2.997987,96.124764,130.877429,175.074242,14.823260,91.813449,136.629254,176.174191,12.639356,190.871105,387.261369,387.420586,76.970372,57.191189,84.595448,108.818948,9.986911,0.054893,0.068100,0.093095,0.008825,0.052649,0.081202,0.103142,0.006274,0.171473,0.237867,0.312369,0.028346,0.164303,0.248345,0.314750,0.025309,0.363188,0.702261,0.701701,0.153879,0.102639,0.153529,0.194223,0.019537
