ID,WellID,Row,Column,RowName,ColumnName,WellName,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuc2) Area (AVG),[Cell] (Nuc2) Diameter (AVG),[Cell] (Nuc2) Circumference (AVG),[Cell] (Nuc2) Circularity (AVG),[Cell] (Nuc2) Compactness (AVG),[Cell] (Nuc2) Anisometry (AVG),[Cell] (Nuc2) TotalIntensity CH1 (AVG),[Cell] (Nuc2) TotalIntensity CH2 (AVG),[Cell] (Nuc2) TotalIntensity CH3 (AVG),[Cell] (Nuc2) MeanIntensity CH1 (AVG),[Cell] (Nuc2) MeanIntensity CH2 (AVG),[Cell] (Nuc2) MeanIntensity CH3 (AVG),[Cell] (Nuc2) TotalPeak CH1 (AVG),[Cell] (Nuc2) TotalPeak CH2 (AVG),[Cell] (Nuc2) TotalPeak CH3 (AVG),[Cell] (Nuc2) TotalRidge CH1 (AVG),[Cell] (Nuc2) TotalRidge CH2 (AVG),[Cell] (Nuc2) TotalRidge CH3 (AVG),[Cell] (Nuc2) MeanPeak CH1 (AVG),[Cell] (Nuc2) MeanPeak CH2 (AVG),[Cell] (Nuc2) MeanPeak CH3 (AVG),[Cell] (Nuc2) MeanRidge CH1 (AVG),[Cell] (Nuc2) MeanRidge CH2 (AVG),[Cell] (Nuc2) MeanRidge CH3 (AVG),[Cell] (CellBody) Area (AVG),[Cell] (CellBody) Diameter (AVG),[Cell] (CellBody) Circumference (AVG),[Cell] (CellBody) Circularity (AVG),[Cell] (CellBody) Compactness (AVG),[Cell] (CellBody) Anisometry (AVG),[Cell] (CellBody) TotalIntensity CH2 (AVG),[Cell] (CellBody) TotalIntensity CH3 (AVG),[Cell] (CellBody) TotalIntensity CH4 (AVG),[Cell] (CellBody) TotalIntensity CH5 (AVG),[Cell] (CellBody) MeanIntensity CH2 (AVG),[Cell] (CellBody) MeanIntensity CH3 (AVG),[Cell] (CellBody) MeanIntensity CH4 (AVG),[Cell] (CellBody) MeanIntensity CH5 (AVG),[Cell] (CellBody) MinIntensity CH2 (AVG),[Cell] (CellBody) MinIntensity CH3 (AVG),[Cell] (CellBody) MinIntensity CH4 (AVG),[Cell] (CellBody) MinIntensity CH5 (AVG),[Cell] (CellBody) MaxIntensity CH2 (AVG),[Cell] (CellBody) MaxIntensity CH3 (AVG),[Cell] (CellBody) MaxIntensity CH4 (AVG),[Cell] (CellBody) MaxIntensity CH5 (AVG),[Cell] (CellBody) TotalPeak CH2 (AVG),[Cell] (CellBody) TotalPeak CH3 (AVG),[Cell] (CellBody) TotalPeak CH4 (AVG),[Cell] (CellBody) TotalPeak CH5 (AVG),[Cell] (CellBody) TotalHole CH2 (AVG),[Cell] (CellBody) TotalHole CH3 (AVG),[Cell] (CellBody) TotalHole CH4 (AVG),[Cell] (CellBody) TotalHole CH5 (AVG),[Cell] (CellBody) TotalRidge CH2 (AVG),[Cell] (CellBody) TotalRidge CH3 (AVG),[Cell] (CellBody) TotalRidge CH4 (AVG),[Cell] (CellBody) TotalRidge CH5 (AVG),[Cell] (CellBody) TotalValley CH2 (AVG),[Cell] (CellBody) TotalValley CH3 (AVG),[Cell] (CellBody) TotalValley CH4 (AVG),[Cell] (CellBody) TotalValley CH5 (AVG),[Cell] (CellBody) TotalEdge CH2 (AVG),[Cell] (CellBody) TotalEdge CH3 (AVG),[Cell] (CellBody) TotalEdge CH4 (AVG),[Cell] (CellBody) TotalEdge CH5 (AVG),[Cell] (CellBody) TotalSaddle CH2 (AVG),[Cell] (CellBody) TotalSaddle CH3 (AVG),[Cell] (CellBody) TotalSaddle CH4 (AVG),[Cell] (CellBody) TotalSaddle CH5 (AVG),[Cell] (CellBody) MeanPeak CH2 (AVG),[Cell] (CellBody) MeanPeak CH3 (AVG),[Cell] (CellBody) MeanPeak CH4 (AVG),[Cell] (CellBody) MeanPeak CH5 (AVG),[Cell] (CellBody) MeanHole CH2 (AVG),[Cell] (CellBody) MeanHole CH3 (AVG),[Cell] (CellBody) MeanHole CH4 (AVG),[Cell] (CellBody) MeanHole CH5 (AVG),[Cell] (CellBody) MeanRidge CH2 (AVG),[Cell] (CellBody) MeanRidge CH3 (AVG),[Cell] (CellBody) MeanRidge CH4 (AVG),[Cell] (CellBody) MeanRidge CH5 (AVG),[Cell] (CellBody) MeanValley CH2 (AVG),[Cell] (CellBody) MeanValley CH3 (AVG),[Cell] (CellBody) MeanValley CH4 (AVG),[Cell] (CellBody) MeanValley CH5 (AVG),[Cell] (CellBody) MeanEdge CH2 (AVG),[Cell] (CellBody) MeanEdge CH3 (AVG),[Cell] (CellBody) MeanEdge CH4 (AVG),[Cell] (CellBody) MeanEdge CH5 (AVG),[Cell] (CellBody) MeanSaddle CH2 (AVG),[Cell] (CellBody) MeanSaddle CH3 (AVG),[Cell] (CellBody) MeanSaddle CH4 (AVG),[Cell] (CellBody) MeanSaddle CH5 (AVG)
1,26,2,2,B,2,B-02,2021-03-30 00:21:45 +02:00,1,0,,52,178.1905,16.3502,51.3850,0.837652,1.194044,1.182623,235015.06,58515.56,74702.87,562.8398,138.4163,175.2857,518.587215,491.584878,622.955397,1345.789135,1111.065724,1839.744699,1.264506,1.169996,1.500947,3.309537,2.665495,4.404148,200.7842,18.3486,55.9358,0.763340,1.259947,1.208064,64996.13,85084.83,30364.42,4596021.23,137.2028,178.7825,64.1059,9756.8376,32.63,9.35,2.62,5906.12,326.60,611.02,226.48,12932.38,22.632092,24.906325,34.552805,4.333309,20.558636,30.798543,40.370674,3.079470,69.689729,89.777427,119.482308,13.520196,66.038729,95.540318,124.235766,12.007690,185.821819,330.069428,331.621231,80.871516,42.158752,60.295396,77.407690,9.241692,0.048327,0.053266,0.073570,0.009323,0.043980,0.065689,0.085923,0.006747,0.148761,0.192026,0.254681,0.029153,0.141133,0.204175,0.264895,0.026063,0.396708,0.701192,0.704718,0.176900,0.089872,0.129015,0.165057,0.019952
4,27,2,3,B,3,B-03,2021-03-30 00:22:08 +02:00,1,0,,59,182.3028,16.5451,51.8930,0.835488,1.186547,1.182556,242249.78,64668.78,78084.63,560.6722,148.6842,181.7418,520.944226,485.047984,567.266849,1323.183035,1106.322128,1821.588560,1.234457,1.147191,1.346224,3.133104,2.627151,4.327382,210.2950,18.5957,57.0303,0.778967,1.249125,1.207610,74561.73,95765.58,34152.97,4720918.83,149.1770,193.4111,68.8964,9592.6966,34.24,8.95,3.17,5821.85,369.15,699.73,258.27,12704.07,23.390225,26.024013,36.280721,3.989721,21.362044,33.224472,42.663348,2.971243,72.357727,96.342944,126.373413,12.840744,68.695736,103.491706,131.146667,11.643974,191.040765,345.752318,341.515417,76.586528,44.072313,65.325453,81.691230,8.911831,0.047843,0.052781,0.073932,0.008280,0.043594,0.067887,0.086991,0.006156,0.148047,0.196647,0.257903,0.026641,0.140379,0.211721,0.267740,0.024149,0.391498,0.708975,0.699169,0.160340,0.090143,0.133616,0.166711,0.018495
12,28,2,4,B,4,B-04,2021-03-30 00:22:29 +02:00,1,0,,67,178.2040,16.4601,51.2355,0.831975,1.183075,1.193215,233393.69,55740.69,73576.28,556.3260,134.9685,175.2128,509.104718,505.542709,632.092172,1292.195214,1146.843193,1897.942758,1.231498,1.230414,1.523946,3.147405,2.788048,4.586966,201.9210,18.8997,56.3826,0.738656,1.267621,1.265375,63238.96,86591.36,31596.97,4668538.91,135.5626,183.4617,67.4036,9860.4215,33.31,9.16,3.16,5662.21,327.72,677.61,253.61,13559.60,23.382195,24.891814,34.918896,4.415110,21.654838,31.530849,41.383237,3.275436,72.351094,90.748860,121.691825,14.037400,68.844810,97.378223,126.488848,12.715125,189.249604,332.829496,335.547303,85.238499,43.817308,60.949430,78.354792,9.606899,0.049599,0.052302,0.073253,0.009464,0.046146,0.066684,0.087249,0.007222,0.154016,0.191696,0.256146,0.030384,0.146789,0.206173,0.266845,0.027818,0.406786,0.707394,0.711245,0.185901,0.093563,0.129324,0.165318,0.020884
20,29,2,5,B,5,B-05,2021-03-30 00:22:50 +02:00,1,0,,53,191.1712,17.2572,54.1725,0.809065,1.236608,1.227541,241895.89,62040.26,78820.06,542.1090,135.9177,173.8590,542.624147,490.822877,634.772125,1366.562796,1108.376118,1946.813241,1.219705,1.113283,1.434222,3.104906,2.512812,4.391453,215.3123,19.2360,58.6019,0.745439,1.301593,1.251291,69291.28,90568.51,33010.60,4804951.68,134.2344,177.5604,65.4763,9521.2313,31.83,9.64,3.06,5862.00,318.81,615.85,234.83,12868.89,24.274430,26.864813,37.885348,4.190134,22.908460,34.937851,45.448348,3.205698,75.771086,98.765987,133.053612,13.533865,72.296924,106.965298,138.564049,12.405469,193.752293,357.966344,356.756597,78.652413,45.969304,66.883536,85.923885,9.390320,0.048535,0.053075,0.074673,0.008468,0.045708,0.068659,0.089366,0.006619,0.151241,0.194828,0.262001,0.027533,0.144123,0.210691,0.272687,0.025435,0.385465,0.707588,0.704906,0.161663,0.091433,0.131932,0.169143,0.019155
26,30,2,6,B,6,B-06,2021-03-30 00:23:11 +02:00,1,0,,72,172.3192,16.1680,50.7920,0.828093,1.208854,1.197733,207328.03,51005.75,71506.60,509.2228,124.1333,173.9604,514.334573,492.164423,641.917762,1330.980539,1087.739562,1786.623964,1.300796,1.222299,1.610683,3.381804,2.712377,4.440279,198.0744,18.6269,56.1258,0.742406,1.282089,1.267947,58960.33,84127.92,30667.11,4602344.35,124.9218,179.6247,65.6434,9926.8354,30.14,11.58,3.63,5843.04,311.18,601.64,235.03,13048.19,23.463656,24.999918,34.375535,4.409724,21.389817,30.284036,39.004538,2.874965,72.312900,89.646074,118.470426,13.527524,68.268485,94.600585,120.784737,11.727493,185.895333,321.998000,321.565356,81.928428,43.587336,59.910154,75.995430,9.146134,0.050801,0.054092,0.074029,0.009662,0.046338,0.065081,0.083666,0.006378,0.156738,0.192993,0.255136,0.029692,0.147789,0.203310,0.259769,0.025850,0.402458,0.693140,0.692974,0.182126,0.094416,0.128885,0.163813,0.020109
34,31,2,7,B,7,B-07,2021-03-30 00:23:33 +02:00,1,0,,46,180.7172,16.4932,52.3135,0.841622,1.219152,1.176010,228291.61,53816.41,78990.41,529.4209,125.9724,185.5432,521.793990,496.966118,671.143136,1336.925830,1108.992709,1978.595604,1.229892,1.181454,1.591434,3.139046,2.617995,4.680084,200.6747,18.4115,56.2282,0.767750,1.267459,1.227042,59093.50,89558.50,31340.72,4585068.24,125.0115,190.3717,66.4749,9731.8455,34.20,8.83,2.98,6003.89,274.72,685.83,255.11,12851.80,23.097941,24.979397,35.267601,4.021044,20.936234,33.324614,42.810982,2.872764,70.077648,94.858437,126.385321,12.759742,66.215976,103.432624,132.336811,11.379335,177.999308,346.058844,346.313286,77.848975,41.698561,65.259015,82.923924,8.772810,0.049294,0.053124,0.075000,0.008598,0.044676,0.071256,0.091338,0.006241,0.149605,0.202241,0.269049,0.027448,0.141271,0.220994,0.282085,0.024622,0.380681,0.740205,0.738442,0.168150,0.089018,0.139227,0.176638,0.018937
43,32,2,8,B,8,B-08,2021-03-30 00:23:54 +02:00,1,0,,53,176.9946,16.1681,51.9613,0.854432,1.223942,1.147071,207553.08,54776.72,70581.17,492.9732,130.1284,167.9238,521.748072,533.223666,657.014022,1316.971856,1168.673169,1868.765555,1.268824,1.281680,1.578693,3.206584,2.807195,4.514786,203.7271,19.0908,57.5192,0.736408,1.307900,1.286868,62206.91,83530.38,30216.13,4711024.38,128.7449,172.7428,62.5402,9846.4648,31.81,10.79,3.42,5894.28,299.00,604.62,223.83,12797.58,23.602009,25.446451,35.394202,4.577806,21.356392,31.109074,41.193487,2.818153,72.312585,92.015652,122.914487,13.575955,68.271068,97.374330,126.648839,11.525986,194.531885,338.535812,336.836435,81.474399,43.687289,61.772238,79.036320,9.027329,0.049409,0.053397,0.074162,0.009609,0.044703,0.065518,0.086504,0.006051,0.151299,0.193412,0.257445,0.028636,0.142827,0.204936,0.265615,0.024506,0.407538,0.713404,0.707249,0.173364,0.091345,0.129737,0.165679,0.019081
52,33,2,9,B,9,B-09,2021-03-30 00:24:16 +02:00,1,0,,48,179.2378,16.3833,51.5406,0.833566,1.205276,1.189277,230985.23,62814.83,76502.25,531.2709,150.8685,178.0987,513.444696,505.116714,616.748972,1337.995456,1122.934720,1812.170774,1.248163,1.235581,1.483748,3.264036,2.733437,4.410777,200.1975,18.4720,56.6848,0.748312,1.301550,1.240326,69616.94,87236.88,31523.48,4563215.73,149.9837,183.0418,66.2525,9728.0672,33.06,8.58,2.56,5874.96,343.85,642.69,235.35,13258.33,22.036309,25.239462,34.563093,4.358900,20.473855,31.903861,40.197041,3.262724,68.922469,91.436562,119.836859,14.063414,65.548768,98.271670,124.077391,12.744575,186.936355,329.591159,325.590913,82.166335,41.762141,61.380916,77.419959,9.701196,0.047118,0.054351,0.073614,0.009421,0.043660,0.068844,0.086166,0.007220,0.147409,0.197224,0.256258,0.030697,0.140048,0.211916,0.265830,0.028009,0.405724,0.712477,0.702374,0.179983,0.089299,0.132346,0.165747,0.021286
60,34,2,10,B,10,B-10,2021-03-30 00:24:38 +02:00,1,0,,49,176.0919,16.4400,51.1456,0.824724,1.197633,1.210896,218013.43,52220.27,73826.20,528.4205,124.9570,174.4240,524.392352,449.349099,613.934118,1324.281632,1054.817592,1690.364515,1.290093,1.084625,1.496880,3.270208,2.562624,4.149623,200.2685,18.6963,56.0086,0.740569,1.266955,1.281307,58506.27,86116.22,30251.33,4630383.69,124.2364,180.6891,63.6159,9872.6196,31.35,13.96,3.86,5820.14,311.57,566.84,208.37,13203.51,23.848339,24.422665,34.818402,4.310869,22.282326,28.946571,38.958553,3.140517,73.821849,86.029511,118.423035,13.759149,70.404532,90.125579,120.836437,12.330126,186.118759,308.243251,313.447243,83.111307,44.462815,56.752541,75.374210,9.446374,0.051090,0.052345,0.074545,0.009346,0.047741,0.062298,0.083434,0.006863,0.158255,0.184689,0.253625,0.029940,0.150835,0.193665,0.258820,0.026891,0.399305,0.663047,0.672867,0.181893,0.095303,0.121819,0.161346,0.020572
67,35,2,11,B,11,B-11,2021-03-30 00:24:59 +02:00,1,0,,34,175.9523,16.1045,51.7244,0.855545,1.224652,1.164985,230217.65,55877.35,77828.88,564.2486,133.0204,187.3362,519.939133,486.918949,614.361957,1367.474142,1074.821129,1799.116383,1.278818,1.191374,1.508097,3.430610,2.640955,4.438178,196.5753,17.6141,54.4970,0.804487,1.218132,1.199427,61693.50,87492.12,30527.79,4539684.24,131.4309,189.3991,66.0425,9855.1225,34.76,12.68,4.21,5717.50,309.85,609.18,219.24,13297.21,22.491913,23.312893,33.161258,4.409228,20.705793,29.503297,38.755089,3.353193,69.450007,86.049862,115.464828,14.379004,66.051368,92.256956,119.510220,13.159177,184.313693,326.401128,322.819827,84.072792,42.039058,58.488924,74.715723,10.154156,0.049170,0.050644,0.071922,0.009725,0.045546,0.064908,0.084558,0.007782,0.152034,0.188403,0.251307,0.032297,0.145037,0.202818,0.260747,0.030093,0.407315,0.717940,0.709305,0.190884,0.092205,0.128488,0.163013,0.023028
